Address:,USB0::0x0957::0x17BC::MY60101365::0::INSTR,,Time (s),Time@Edge(1)
,,,2023-05-18 20:34:35.806,5.1118E-08
,,,2023-05-18 20:34:36.448,4.9348E-08
,,,2023-05-18 20:34:37.072,4.9764E-08
,,,2023-05-18 20:34:37.711,5.1467E-08
,,,2023-05-18 20:34:38.351,4.9783E-08
,,,2023-05-18 20:34:38.993,5.2714E-08
,,,2023-05-18 20:34:39.637,5.0504E-08
,,,2023-05-18 20:34:40.277,5.0342E-08
,,,2023-05-18 20:34:40.914,5.0871E-08
,,,2023-05-18 20:34:41.558,5.1722E-08
,,,2023-05-18 20:34:42.196,5.0802E-08
,,,2023-05-18 20:34:42.830,5.0262E-08
,,,2023-05-18 20:34:43.467,4.9078E-08
,,,2023-05-18 20:34:44.106,4.9554E-08
,,,2023-05-18 20:34:44.749,4.8566E-08
,,,2023-05-18 20:34:45.387,5.0062E-08
,,,2023-05-18 20:34:46.025,4.9241E-08
,,,2023-05-18 20:34:46.662,4.9715E-08
,,,2023-05-18 20:34:47.304,4.9639E-08
,,,2023-05-18 20:34:47.945,4.8297E-08
,,,2023-05-18 20:34:48.584,5.106E-08
,,,2023-05-18 20:34:49.227,5.0201E-08
,,,2023-05-18 20:34:49.869,5.1338E-08
,,,2023-05-18 20:34:50.512,5.069E-08
,,,2023-05-18 20:34:51.151,5.0573E-08
,,,2023-05-18 20:34:51.792,5.0231E-08
,,,2023-05-18 20:34:52.435,5.174E-08
,,,2023-05-18 20:34:53.074,5.0396E-08
,,,2023-05-18 20:34:53.710,5.011E-08
,,,2023-05-18 20:34:54.357,5.0302E-08
,,,2023-05-18 20:34:54.997,5.0944E-08
,,,2023-05-18 20:34:55.635,4.8969E-08
,,,2023-05-18 20:34:56.276,4.8313E-08
,,,2023-05-18 20:34:56.916,4.9178E-08
,,,2023-05-18 20:34:57.557,5.2054E-08
,,,2023-05-18 20:34:58.200,5.1342E-08
,,,2023-05-18 20:34:58.839,4.8746E-08
,,,2023-05-18 20:34:59.481,4.9755E-08
,,,2023-05-18 20:35:00.119,4.9698E-08
,,,2023-05-18 20:35:00.774,5.0299E-08
,,,2023-05-18 20:35:01.418,4.98E-08
,,,2023-05-18 20:35:02.054,4.8044E-08
,,,2023-05-18 20:35:02.692,4.8823E-08
,,,2023-05-18 20:35:03.334,4.6387E-08
,,,2023-05-18 20:35:03.971,4.9642E-08
,,,2023-05-18 20:35:04.607,4.7906E-08
,,,2023-05-18 20:35:05.255,4.9811E-08
,,,2023-05-18 20:35:05.895,4.9022E-08
,,,2023-05-18 20:35:06.534,5.004E-08
,,,2023-05-18 20:35:07.178,5.0177E-08
,,,2023-05-18 20:35:07.821,4.9901E-08
,,,2023-05-18 20:35:08.465,4.9069E-08
,,,2023-05-18 20:35:09.108,4.9647E-08
,,,2023-05-18 20:35:09.747,5.1105E-08
,,,2023-05-18 20:35:10.387,4.9207E-08
,,,2023-05-18 20:35:11.030,4.8566E-08
,,,2023-05-18 20:35:11.668,4.9575E-08
,,,2023-05-18 20:35:12.307,5.0212E-08
,,,2023-05-18 20:35:12.945,5.1274E-08
,,,2023-05-18 20:35:13.584,4.9829E-08
,,,2023-05-18 20:35:14.228,4.9315E-08
,,,2023-05-18 20:35:14.865,5.028E-08
,,,2023-05-18 20:35:15.502,4.9244E-08
,,,2023-05-18 20:35:16.143,4.9833E-08
,,,2023-05-18 20:35:16.784,5.0005E-08
,,,2023-05-18 20:35:17.425,5.0219E-08
,,,2023-05-18 20:35:18.064,4.9456E-08
,,,2023-05-18 20:35:18.702,4.8569E-08
,,,2023-05-18 20:35:19.347,5.0033E-08
,,,2023-05-18 20:35:19.984,4.9872E-08
,,,2023-05-18 20:35:20.618,4.9624E-08
,,,2023-05-18 20:35:21.257,4.6747E-08
,,,2023-05-18 20:35:21.894,5.0168E-08
,,,2023-05-18 20:35:22.532,4.9542E-08
,,,2023-05-18 20:35:23.167,4.8548E-08
,,,2023-05-18 20:35:23.801,5.0325E-08
,,,2023-05-18 20:35:24.439,4.9543E-08
,,,2023-05-18 20:35:25.081,5.237E-08
,,,2023-05-18 20:35:25.717,5.1485E-08
